i name total_amount reward type
6 Karmine 73242.07988173021 0 Very_difficult
6 SimpleRL 116176.47490235954 0 Very_difficult
7 Karmine 81299.24156100689 0 Very_difficult
7 SimpleRL 123905.41643853691 0 Very_difficult
7 GP_agent_1 101462.8747556663 947 Very_difficult
7 Pretender 244845.9260052625 0 Very_difficult
7 Pretender 244845.9260052625 0 Very_difficult
8 Karmine 71891.25125625839 0 Very_difficult
8 SimpleRL 99267.45408883966 0 Very_difficult
8 GP_agent_1 86623.0558138061 695 Very_difficult
8 Pretender 230285.51632957396 0 Very_difficult
8 Pretender 230285.51632957396 0 Very_difficult
9 GP_agent_1 79480.69556243518 527 Very_difficult
9 Pretender 215472.5207793186 0 Very_difficult
9 Karmine 74397.75922240393 0 Very_difficult
9 Pretender 215472.5207793186 0 Very_difficult
9 SimpleRL 101502.1426629008 0 Very_difficult
0 Karmine 87612.0046152991 0 Karma_aware
0 SimpleRL 59705.12766975334 0 Karma_aware
0 GP_agent_1 91003.53039285583 776 Karma_aware
0 Stealer 48273.11755559381 0 Karma_aware
0 Karmine 87612.0046152991 0 Karma_aware
1 Karmine 83761.9209791388 0 Karma_aware
1 Stealer 48874.30214268875 0 Karma_aware
1 SimpleRL 54443.84955819661 0 Karma_aware
1 GP_agent_1 81326.75151506304 608 Karma_aware
1 Karmine 83761.9209791388 0 Karma_aware
2 Karmine 96519.61159759136 0 Karma_aware
2 Karmine 96519.61159759136 0 Karma_aware
2 Stealer 46774.119454125146 0 Karma_aware
2 SimpleRL 65111.82605254657 0 Karma_aware
2 GP_agent_1 91367.32818936803 749 Karma_aware
3 Karmine 83936.24993029839 0 Karma_aware
3 GP_agent_1 82554.38624156809 641 Karma_aware
3 Stealer 49212.06598450927 0 Karma_aware
3 Karmine 83936.24993029839 0 Karma_aware
3 SimpleRL 50462.81720505845 0 Karma_aware
4 Karmine 90257.21822090381 0 Karma_aware
4 SimpleRL 55337.466788205355 0 Karma_aware
4 Karmine 90257.21822090381 0 Karma_aware
4 GP_agent_1 81382.78720313041 568 Karma_aware
4 Stealer 49944.356430075175 0 Karma_aware
5 GP_agent_1 87000.19939721798 721 Karma_aware
5 Karmine 81674.0834702987 0 Karma_aware
5 SimpleRL 48092.02371332325 0 Karma_aware
5 Karmine 81674.0834702987 0 Karma_aware
5 Stealer 44506.24445908866 0 Karma_aware
6 Karmine 89921.24226401397 0 Karma_aware
6 Karmine 89921.24226401397 0 Karma_aware
6 GP_agent_1 85094.51537871144 634 Karma_aware
6 SimpleRL 51642.48712494235 0 Karma_aware
6 Stealer 48382.48688827328 0 Karma_aware
7 Karmine 84040.10175186189 0 Karma_aware
7 SimpleRL 54104.1933173941 0 Karma_aware
7 Karmine 84040.10175186189 0 Karma_aware
7 Stealer 46168.26191347559 0 Karma_aware
7 GP_agent_1 90267.41386670103 733 Karma_aware
8 Karmine 127400.18270887328 0 Karma_aware
8 SimpleRL 117557.34620048499 0 Karma_aware
8 GP_agent_1 94657.9036455552 829 Karma_aware
8 Karmine 127400.18270887328 0 Karma_aware
8 Stealer 73705.80582276222 0 Karma_aware
9 Stealer 46254.237686252476 0 Karma_aware
9 Karmine 84138.52359777174 0 Karma_aware
9 SimpleRL 55375.52960600034 0 Karma_aware
9 Karmine 84138.52359777174 0 Karma_aware
9 GP_agent_1 96451.18810983576 843 Karma_aware
0 Opportunist 142992.11289069633 0 Opportunists
0 GP_agent_1 122627.0485806116 1630 Opportunists
0 Opportunist 142992.11289069633 0 Opportunists
0 SimpleRL 118997.23278893452 0 Opportunists
1 GP_agent_1 124465.17304855595 1545 Opportunists
1 Opportunist 139116.5219933938 0 Opportunists
1 SimpleRL 127726.26283624863 0 Opportunists
1 Opportunist 139116.5219933938 0 Opportunists
2 GP_agent_1 129160.69054881389 1689 Opportunists
2 Opportunist 139869.77784955644 0 Opportunists
2 SimpleRL 118064.87774555979 0 Opportunists
2 Opportunist 139869.77784955644 0 Opportunists
3 Opportunist 138142.73209792096 0 Opportunists
